Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Bindu Vijayakumar, Ciza Thomas","The ethics of envisioning spam free email inboxes",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00526-2","",108,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00526-2","2730-5953","",,,,,0,0.00,0,2,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00526-2.pdf",""
0,"Morten Bay","Participation, prediction, and publicity: avoiding the pitfalls of applying Rawlsian ethics to AI",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00341-1","",110,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00341-1","2730-5953","",4,4,1545,1554,0,0.00,0,1,2,"Abstract: Given the popularity of John Rawls’ theory of justice as fairness as an ethical framework in the artificial intelligence (AI) field, this article examines how the theory fits with three different conceptual applications of AI technology. First, the article discusses a proposition by Ashrafian to let an AI agent perform the deliberation that produces a Rawlsian social contract governing humans. The discussion demonstrates the inviability of such an application as it contradicts foundational aspects of Rawls’ theories. An exploration of more viable applications of Rawlsian theory in the AI context follows, introducing the distinction between","https://link.springer.com/content/pdf/10.1007/s43681-023-00341-1.pdf",""
0,"Brij B. Gupta, Akshat Gaurav, Kwok Tai Chui, Konstantinos Psannis","The Future of Ethical AI in Large Language Models",2024,"Advances in Computational Intelligence and Robotics","IGI Global","https://doi.org/10.4018/979-8-3693-3860-5.ch013","",112,"2025-02-04 16:55:17","book-chapter","10.4018/979-8-3693-3860-5.ch013","2327-0411","",,,410,435,0,0.00,0,4,1,"As artificial intelligence (AI) continues to evolve, its ethical implications become increasingly critical. This chapter explores the future of ethical AI, highlighting emerging trends, anticipating future challenges, and proposing a roadmap for building an ethical AI ecosystem. It delves into the importance of ethics in AI, examining trends like explainable AI, fairness, and privacy preservation. The chapter identifies potential ethical dilemmas and risks associated with emerging AI technologies, offering strategies for mitigation. It emphasizes the roles of stakeholders in fostering an ethical AI environment and provides examples of successful implementations. Finally, it envisions a responsible AI future, advocating for transparency, fairness, and inclusivity in AI development, supported by robust policy and governance frameworks.","https://www.igi-global.com/viewtitle.aspx?TitleId=354403",""
0,"Zhicheng Lin","Beyond principlism: practical strategies for ethical AI use in research practices",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00585-5","",115,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00585-5","2730-5953","",,,,,0,0.00,0,1,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00585-5.pdf",""
0,"Luciano Floridi","A Unified Framework of Ethical Principles for AI",2023,"The Ethics of Artificial Intelligence","Oxford University PressOxford","https://doi.org/10.1093/oso/9780198883098.003.0004","",116,"2025-02-04 16:55:17","book-chapter","10.1093/oso/9780198883098.003.0004","","",,,57,66,0,0.00,0,1,2,"Abstract: Previously, in Chapters 1–3, we saw how AI is a new form of agency that can deal with tasks and problems successfully, in view of a goal, without any need for intelligence. Every success of any AI application does not move the bar of what it means to be an intelligent agent. Instead, it bypasses the bar altogether. The success of such artificial agency is increasingly facilitated by the enveloping (that is, reshaping into AI-friendly contexts) of the environments in which AI operates. The decoupling of agency and intelligence and the enveloping of the world generate significant ethical challenges, especially in relation to autonomy, bias, explainability, fairness, privacy, responsibility, transparency, and trust (yes, mere alphabetic order). For this reason, many organizations launched a wide range of initiatives to establish ethical principles for the adoption of socially beneficial AI after the Asilomar AI Principles and the Montreal Declaration for a Responsible Development of Artificial Intelligence were published in 2017. This soon became a cottage industry. Unfortunately, the sheer volume of proposed principles threatens to overwhelm and confuse.","https://academic.oup.com/book/chapter-pdf/58147870/oso-9780198883098-chapter-4.pdf",""
0,"Zari McFadden","ACESOR: a critical engagement in systems of oppression AI assessment tool",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00478-7","",117,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00478-7","2730-5953","",,,,,0,0.00,0,1,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00478-7.pdf",""
0,"Emmeke Veltmeijer, Charlotte Gerritsen","Legal and ethical implications of AI-based crowd analysis: the AI Act and beyond",2025,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00644-x","",120,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00644-x","2730-5953","",,,,,0,0.00,0,2,1,"Abstract: The increasing global population and the consequent rise in crowded environments have amplified the risks of accidents and tragedies. This underscores the need for effective crowd management strategies, with Artificial Intelligence (AI) holding potential to complement traditional methods. While AI offers promise in analysing crowd dynamics and predicting escalations, its deployment raises significant ethical concerns, regarding privacy, bias, accuracy, and accountability. This paper investigates the legal and ethical implications of AI in automated crowd analysis, with a focus on the European perspective. We examine the effect of the GDPR and the recently accepted AI Act on the field. The study then delves into remaining concerns post-legislation and proposes recommendations for ethical deployment. Key findings highlight challenges in notifying individuals of data usage, protecting vulnerable groups, balancing privacy with safety, and mitigating biased outcomes. Recommendations advocate for non-invasive data collection methods, refraining from predicting and decision-making AI systems, contextual considerations, and individual responsibility. The recommendations offer a foundational framework for ethical AI deployment, with universal applicability to benefit citizens globally.","https://link.springer.com/content/pdf/10.1007/s43681-024-00644-x.pdf",""
0,"Manuel Wörsdörfer","Biden’s Executive Order on AI: strengths, weaknesses, and possible reform steps",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00510-w","",122,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00510-w","2730-5953","",,,,,0,0.00,0,1,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00510-w.pdf",""
0,"Ivan Mladenović","The prospects for digital democracy",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00627-y","",123,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00627-y","2730-5953","",,,,,0,0.00,0,1,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00627-y.pdf",""
0,"Andreas Schönau","Agency in augmented reality: exploring the ethics of Facebook’s AI-powered predictive recommendation system",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00158-4","",124,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00158-4","2730-5953","",3,2,407,417,0,0.00,0,1,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00158-4.pdf",""
0,"Jakob Mökander, Luciano Floridi","Correction: Operationalising AI governance through ethics-based auditing: an industry case study",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00191-3","",126,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00191-3","2730-5953","",3,2,659,659,0,0.00,0,2,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00191-3.pdf",""
0,"Shana Kleiner, Jessica A. Grieser, Shug Miller, James Shepard, Javier Garcia-Perez, Nick Deas, Desmond U. Patton, Elsbeth Turcan, Kathleen McKeown","Unmasking camouflage: exploring the challenges of large language models in deciphering African American language &amp; online performativity",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00623-2","",127,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00623-2","2730-5953","",,,,,0,0.00,0,9,1,"Abstract: The growing accessibility of large language models (LLMs) has raised many questions about the reliability of probabilistically generated natural language responses. While researchers have documented how bias in the training data leads to biased and ethically problematic output, little attention has been paid to the problems which arise from the nature of the varieties of language on which these models are trained. In particular, certain kinds of expressive and performative language use are more common among African American social media users than they occur in the naturalistic speech of African Americans, a discrepancy which models may fail to take into account when they are training on easily-scraped data as being representative of African American speech. Because LLM training data is generally proprietary, in this work we simulate the training data using a collected dataset consisting of 274 posts from Twitter, Reddit, and Hip-Hop lyrics and analyze how LLMs interpreted their meaning. We highlight the difficulties LLMs, including GPT-3 and GPT-4, have in understanding performative AAL and examine how camouflaging and performativity are addressed (or not) by LLMs and demonstrate the harmful implications of misinterpreting online performance.","https://link.springer.com/content/pdf/10.1007/s43681-024-00623-2.pdf",""
0,"Rita Patrício Gomes","Book Review: Ethics of Privacy and Surveillance by Carissa Veliz",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00506-6","",128,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00506-6","2730-5953","",,,,,0,0.00,0,1,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00506-6.pdf",""
0,"Matt A. Murphy","Using structured ethical techniques to facilitate reasoning in technology ethics",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00371-9","",129,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00371-9","2730-5953","",,,,,0,0.00,0,1,2,"","https://link.springer.com/content/pdf/10.1007/s43681-023-00371-9.pdf",""
0,"Thanaporn Phattanaviroj, Massoud Moslehpour, Ankita Manohar Walawalkar","Data Ethics and Privacy",2024,"Advances in Computational Intelligence and Robotics","IGI Global","https://doi.org/10.4018/979-8-3693-3860-5.ch010","",131,"2025-02-04 16:55:17","book-chapter","10.4018/979-8-3693-3860-5.ch010","2327-0411","",,,321,353,0,0.00,0,3,1,"The publicity about information does not appear to decrease nor do the disgraces. Confidentiality openings in the collection, use, and distribution of data have affected all the major technology users, be it Facebook, Google, and AI go beyond the business world with administrations, cities, and educational and health organizations. However, with the speedy growth of social media and advanced technology such as mobile phone apps, various investors gather and use great quantities of data, ignoring ethics and privacy. This chapter explores and discusses the ethical considerations surrounding data collection and use, with a specific focus on privacy concerns related to Large Language Model (LLM) training data. The research further discovers topics such as anonymization, data rights, and consensus, aiming to highlight the importance of ethical practices in conducting data. Additionally, the inclusion of case studies on data misuse and privacy breaches serves to provide real-world examples, emphasizing the need for vigilance and responsible approaches in the realm of data collection and utilization.","https://www.igi-global.com/viewtitle.aspx?TitleId=354400",""
0,"Reuben Sass","Equity, autonomy, and the ethical risks and opportunities of generalist medical AI",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00380-8","",132,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00380-8","2730-5953","",,,,,0,0.00,0,1,2,"","https://link.springer.com/content/pdf/10.1007/s43681-023-00380-8.pdf",""
0,"Thomas Souverain","AI to renew public employment services? Explanation and trust of domain experts",2025,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00629-w","",134,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00629-w","2730-5953","",,,,,0,0.00,0,1,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00629-w.pdf",""
0,"Mark Coeckelbergh","Artificial intelligence, the common good, and the democratic deficit in AI governance",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00492-9","",135,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00492-9","2730-5953","",,,,,0,0.00,0,1,1,"Abstract: There is a broad consensus that artificial intelligence should contribute to the common good, but it is not clear what is meant by that. This paper discusses this issue and uses it as a lens for analysing what it calls the “democracy deficit” in current AI governance, which includes a tendency to deny the inherently political character of the issue and to take a technocratic shortcut. It indicates what we may agree on and what is and should be up to (further) deliberation when it comes to AI ethics and AI governance. Inspired by the republican tradition in political theory, it also argues for a more active role of citizens and (end-)users: not only as participants in deliberation but also in ensuring, creatively and communicatively, that AI contributes to the common good.","https://link.springer.com/content/pdf/10.1007/s43681-024-00492-9.pdf",""
0,"Akshat Gaurav, Brij B. Gupta, Arcangelo Castiglione","Ethical AI Development and Deployment",2024,"Advances in Computational Intelligence and Robotics","IGI Global","https://doi.org/10.4018/979-8-3693-3860-5.ch004","",138,"2025-02-04 16:55:17","book-chapter","10.4018/979-8-3693-3860-5.ch004","2327-0411","",,,115,144,0,0.00,0,3,1,"Due to the development of AI-based models and technologies, ethical AI concepts are needed. Ethical AI helps in the development and deployment of AI-based technologies and models. In this context, this chapter explains the guidelines for ethical AI and also defines the best industry practices for the inclusion of ethical AI. Further, it explains the importance of the inclusion of ethical AI in the model development lifecycle. Also, the chapter analyzes ethical testing and validation steps in detail. This chapter also examines the importance of ethical decision-making. Along with this, this chapter also studies the impact of ethical AI on society. As this chapter analyzes all the parts of the AI development lifecycle, it will help researchers and industry professionals to understand the importance of ethical AI.","https://www.igi-global.com/viewtitle.aspx?TitleId=354394",""
0,"Mona Sloane, David Danks, Emanuel Moss","Tackling AI Hyping",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00481-y","",139,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00481-y","2730-5953","",4,3,669,677,0,0.00,0,3,1,"Abstract: The introduction of a new generation of AI systems has kicked off another wave of AI hype. Now that AI systems have added the ability to produce new content to their predictive capabilities, extreme excitement about their alleged capabilities and opportunities is matched only by long held fears about job loss and machine control.","https://link.springer.com/content/pdf/10.1007/s43681-024-00481-y.pdf",""
0,"Saša Josifović","Legal and administrative frameworks as foundations for AI alignment with human volition",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00640-1","",140,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00640-1","2730-5953","",,,,,0,0.00,0,1,1,"Abstract: This paper examines the need for regulatory frameworks in future AI development, questioning the common belief that AI, particularly Artificial General Intelligence (AGI), should be morally aligned with human welfare. It advocates for a legal-centric approach over a moral one, suggesting that in the event of AGI emergence, AI systems should be capable of self-regulation, informed by human law and jurisprudence. This aligns with Eliezer Yudkowsky's Coherent Extrapolated Volition (CEV), focusing on legal frameworks as historically grown manifestations of coherent human volition. This paper aims to contribute to the development of a comprehensive AI regulatory framework, integrating ethical and legal aspects and using historical legal records as a foundation for AI training, ensuring alignment with human values and societal norms.","https://link.springer.com/content/pdf/10.1007/s43681-024-00640-1.pdf",""
0,"Zhicheng Lin","Correction: Beyond principlism: practical strategies for ethical AI use in research practices",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00599-z","",141,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00599-z","2730-5953","",,,,,0,0.00,0,1,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00599-z.pdf",""
0,"Eleonora Lima","AI art and public literacy: the miseducation of Ai-Da the robot",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00488-5","",142,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00488-5","2730-5953","",4,3,841,854,0,0.00,0,1,1,"Abstract: This article examines the implications of the artworks and public performances of the robot artist Ai-Da. While the project claims to advance AI public literacy and foster critical debate around intelligent systems, it instead ends up perpetuating popular misunderstandings about AI creativity, agency, and consciousness. Built in 2019, Ai-Da is a humanoid robot capable of creating drawings, paintings, and composing poetry. However, the project often conceals or miscommunicates the technical aspects of Ai-Da’s capabilities in a manner that encourages the public to misattribute human-like traits to the robot. This lack of transparency in the presentation of Ai-Da’s abilities and the creative processes involved risks reinforcing existing misconceptions about AI, rather than promoting a more nuanced understanding. By employing discourse analysis and drawing on scholarship on machine and computational creativity, anthropomorphism in social robots, and posthuman embodiment, this article uses the Ai-Da project as a case study to illustrate how the dangers of AI hype can be obscured when presented through the lens of public art. The analysis examines how the Ai-Da project, despite its stated goals of advancing AI literacy, fails to effectively challenge and may even exacerbate public misperceptions about the nature of AI-generated art and creativity.","https://link.springer.com/content/pdf/10.1007/s43681-024-00488-5.pdf",""
0,"Sabyasachi Pramanik","AI-Powered Hospital Accounting",2024,"Advances in Finance, Accounting, and Economics","IGI Global","https://doi.org/10.4018/979-8-3693-2185-0.ch013","",144,"2025-02-04 16:55:17","book-chapter","10.4018/979-8-3693-2185-0.ch013","2327-5677","",,,291,319,0,0.00,0,1,1,"Healthcare organizations have unique challenges in preserving their financial stability. Due to the rising cost of healthcare, changing payment models, and the need to provide patients with high-quality treatment, hospitals are under continual pressure to optimize their financial operations. Conventional hospital accounting methods may not be enough in this rapidly evolving environment. The potential of artificial intelligence (AI) to transform hospital accounting and provide a means of enhancing financial stability is explored in this chapter. Automation, data analytics, and advanced machine learning algorithms are used in AI-driven hospital accounting to improve accuracy, speed up financial processes, and support well-informed decision-making.","https://www.igi-global.com/viewtitle.aspx?TitleId=352621",""
0,"Dan Hendrycks","Beneficial AI and Machine Ethics",2024,"Introduction to AI Safety, Ethics, and Society","CRC Press","https://doi.org/10.1201/9781003530336-6","",146,"2025-02-04 16:55:17","book-chapter","10.1201/9781003530336-6","","",,,283,361,0,0.00,0,1,1,"","",""
0,"Suzanne Kawamleh","Algorithmic evidence in U.S criminal sentencing",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00473-y","",147,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00473-y","2730-5953","",,,,,0,0.00,0,1,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00473-y.pdf",""
0,"Mariarosaria Taddeo","Adversarial and Non-kinetic Uses of AI: Conceptual and Ethical Challenges",2024,"The Ethics of Artificial Intelligence in Defence","Oxford University Press","https://doi.org/10.1093/oso/9780197745441.003.0004","",148,"2025-02-04 16:55:17","book-chapter","10.1093/oso/9780197745441.003.0004","","",,,97,123,0,0.00,0,1,1,"Abstract: This chapter analyses the use of AI for adversarial and non-kinetic purposes, like cyberwarfare. This is the most challenging of the three categories of use of AI in defence to analyse from an ethical perspective. This is because this category of use hinges on a series of conceptual changes prompted by the digital revolution. Understanding the nature of this changes is crucial to address their ethical implications adequately. The goals of this chapter are to analyse the nature of cyberwarfare and how it differs from kinetic one, and to develop a theory of just cyberwarfare, by merging Just War Theory and information ethics.","https://academic.oup.com/book/chapter-pdf/59588596/oso-9780197745441-chapter-4.pdf",""
0,"Luciano Floridi","How to Deliver a Good AI Society",2023,"The Ethics of Artificial Intelligence","Oxford University PressOxford","https://doi.org/10.1093/oso/9780198883098.003.0010","",149,"2025-02-04 16:55:17","book-chapter","10.1093/oso/9780198883098.003.0010","","",,,168,179,0,0.00,0,1,2,"Abstract: Chapters 4–6 analysed the foundational concepts that can ground a future ‘Good AI Society’. Chapters 7–9 discussed the challenges, the bad, and the good practices characterizing the use of AI systems. This chapter, along with the next, turns to some constructive and concrete recommendations about how to assess, develop, incentivize, and support good AI. In some cases, these recommendations may be undertaken directly by national or supranational policymakers. In others, changes may be led by other stakeholders ranging from civil society to private actors and sectoral organizations. The hope is that, if adopted, these recommendations may support a firm foundation for the establishment of a Good AI Society.","https://academic.oup.com/book/chapter-pdf/58148078/oso-9780198883098-chapter-10.pdf",""
0,"Louie Kangeter, Brian Patrick Green","AGI and slavery",2025,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00618-z","",150,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00618-z","2730-5953","",,,,,0,0.00,0,2,1,"","https://link.springer.com/content/pdf/10.1007/s43681-024-00618-z.pdf",""
0,"Suraj Nistala, Yeran Lu, Ruoshui Liu, Zoe Yi, Zichen Huang","Balancing Innovation and Ethics: Transformative Potential and Ethical Challenges of Generative AI in Education",2025,"","Elsevier BV","https://doi.org/10.2139/ssrn.5031907","",151,"2025-02-04 16:55:17","posted-content","10.2139/ssrn.5031907","","",,,,,0,0.00,0,5,1,"","",""
0,"Athanasios Simotas, Dimitrios Kardamakis","Medical Ethics in the Era of Artificial Intelligence: A New Landscape in Medical Practice?",2024,"AI - Ethical and Legal Challenges [Working Title]","IntechOpen","https://doi.org/10.5772/intechopen.1007438","",152,"2025-02-04 16:55:17","book-chapter","10.5772/intechopen.1007438","","",,,,,0,0.00,0,2,1,"Purpose of this study is to examine how AI interferes with medical practice by enhancing medical ethics rules and standards. Also, this research examines how AI contributes to medical confidentiality which stands as a key role of medical ethics to its mandate for beneficence. Another matter is a complete medical diagnosis that demands accurate family history and psychological information about the patients. Qualitative research has been conducted from August 2020 through December 2021 with the use of a closed type of questionnaire including both questions and case studies. The type and form of the questionnaire have been determined by the nature of the medical profession and the very limited free time of physicians. The questionnaire was distributed only to medical doctors and physicians in Greece who were registered as active members of medical associations. Within the context of Medical Ethics, AI can be used to minimize the human error and help the doctor decide according to the best interest of the patient. In the future AI will be even more capable so further research must be under way to recreate boundaries and keep AI accountable for actions or mistakes that have been made under its control.","https://intech-files.s3.amazonaws.com/a043Y00000xzFKUQA2/a09Tc000000yJxRIAU/Final-Medical%20Ethics%20in%20the%20Era%20of%20Artificial%20Intelligen%20%282024-11-04%2010%3A37%3A44%29.pdf",""
0,"Priyanshu Rawat, Prerna, Prabhdeep Singh","Ethics and Regulations of AI in Society 5.0",2023,"Artificial Intelligence and Society 5.0","Chapman and Hall/CRC","https://doi.org/10.1201/9781003397052-5","",153,"2025-02-04 16:55:17","book-chapter","10.1201/9781003397052-5","","",,,37,48,0,0.00,0,3,2,"","",""
0,"Luciano Floridi","Bad Practices",2023,"The Ethics of Artificial Intelligence","Oxford University PressOxford","https://doi.org/10.1093/oso/9780198883098.003.0008","",155,"2025-02-04 16:55:17","book-chapter","10.1093/oso/9780198883098.003.0008","","",,,113,141,0,0.00,0,1,2,"Abstract: Chapter 7 provided an overview of the various ethical challenges posed by the widespread use of algorithms. This chapter concentrates on the negative side of AI’s impact (the positive side will be discussed in Chapter 9). AI research and regulation seek to balance the benefits of innovation against any potential harms and disruption. But one unintended consequence of the recent surge in AI research is the potential reorientation of AI technologies to facilitate criminal acts, called here AI crime or AIC. We already know that AIC is theoretically feasible thanks to published experiments in automating fraud targeted at social media users as well as demonstrations of AI-driven manipulation of simulated markets. Yet because AIC is still a relatively young and inherently interdisciplinary area—spanning socio-legal studies to formal science—there remains some uncertainty about what an AIC future might look like. This chapter analyses the foreseeable threats of AIC to offer a synthesis of the current problems and outline a possible solution space.","https://academic.oup.com/book/chapter-pdf/58147945/oso-9780198883098-chapter-8.pdf",""
0,"Tricia A. Griffin, Brian P. Green, Jos V.M. Welie","The ethical wisdom of AI developers",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00458-x","",157,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00458-x","2730-5953","",,,,,0,0.00,0,3,1,"Abstract: This paper explores ethical wisdom in the artificial intelligence (AI) developer community. Despite robust literature about the need for virtue ethics approaches in AI development, little research has directly engaged with the developer community about their progress in this regard. We have thus conducted semi-structured interviews with a worldwide cohort of 40 developers, which focused on their awareness of ethics issues, how they navigate ethical challenges, and the barriers they encounter in developing ethical wisdom. We find developers are largely aware of the ethical territories they must navigate and the moral dilemmas they personally encounter, but they face limited and inconsistent resources for ethical guidance or training. Furthermore, there are significant barriers inhibiting the development of ethical wisdom in the AI developer community, including the industry’s fixation on innovation, the narrow scope of technical practice, limited provisions for reflection and dialogue, and incentive structures that prioritize profits and prestige. The paper concludes by emphasizing the need to address the gap in domain-specific ethical skill and provides recommendations for organizations, educators, and the AI developer community.","https://link.springer.com/content/pdf/10.1007/s43681-024-00458-x.pdf",""
0,"Marten H. L. Kaas, Ibrahim Habli","Assuring AI safety: fallible knowledge and the Gricean maxims",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00490-x","",158,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00490-x","2730-5953","",,,,,0,0.00,0,2,1,"Abstract: In this paper we argue that safety claims, when justified by a safety case, are descriptive fallible knowledge claims. Even if the aim of a safety case was to justify infallible knowledge about the safety of a system, such infallible safety knowledge is impossible to attain in the case of AI-enabled systems. By their nature AI-enabled systems preclude the possibility of obtaining infallible knowledge concerning their safety or lack thereof. We suggest that one can communicate knowledge of an AI-enabled system’s safety by structuring their exchange according to Paul Grice’s Cooperative Principle which can be achieved via adherence to the Gricean maxims of communication. Furthermore, these same maxims can be used to evaluate the calibre of the exchange, with the aim being to ensure that communicating knowledge about an AI-enabled system’s safety is of the highest calibre, in short, that the communication is relevant, of sufficient quantity and quality, and communicated perspicuously. The high calibre communication of safety claims to an epistemically diverse group of stakeholders is vitally important given the increasingly participatory nature of AI-enabled system design, development and assessment.","https://link.springer.com/content/pdf/10.1007/s43681-024-00490-x.pdf",""
0,"Andreas Tsamados, Luciano Floridi, Mariarosaria Taddeo","Human control of AI systems: from supervision to teaming",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00489-4","",159,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00489-4","2730-5953","",,,,,0,0.00,0,3,1,"Abstract: This article reviews two main approaches to human control of AI systems: supervisory human control and human–machine teaming. It explores how each approach defines and guides the operational interplay between human behaviour and system behaviour to ensure that AI systems are effective throughout their deployment. Specifically, the article looks at how the two approaches differ in their conceptual and practical adequacy regarding the control of AI systems based on foundation models––i.e., models trained on vast datasets, exhibiting general capabilities, and producing non-deterministic behaviour. The article focuses on examples from the defence and security domain to highlight practical challenges in terms of human control of automation in general, and AI in particular, and concludes by arguing that approaches to human control are better served by an understanding of control as the product of collaborative agency in a multi-agent system rather than of exclusive human supervision.","https://link.springer.com/content/pdf/10.1007/s43681-024-00489-4.pdf",""
0,"Patricia Engel-Hermann, Alexander Skulmowski","Appealing, but misleading: a warning against a naive AI realism",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00587-3","",160,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00587-3","2730-5953","",,,,,0,0.00,0,2,1,"Abstract: Scientists, educators, and instructional designers are facing numerous challenges due to the introduction of generative AI tools that can create appealing realistic imagery based on text prompts. Given that realism contributes to the trustworthiness of images coupled with people’s eagerness to externalize complex tasks to AI systems, the problem of a naive AI realism arises in which image creation and optimization is offloaded without considering the limitations of AI-driven technology. However, scientific visualizations and images used for educational purposes must go beyond an appealing presentation; above all, they should be accurate and factually correct. We argue that the utilization of generative AI tools for these types of visualizations requires human oversight, subject matter knowledge, and knowledge of effective design. In particular, we warn of a naive adoption of technological possibilities to “optimize” visualizations for educational purposes, such as memorability. A reductionist and naive view of AI-based optimization that fails to take into account the complex prerequisites for learning and instruction is likely to have negative consequences.","https://link.springer.com/content/pdf/10.1007/s43681-024-00587-3.pdf",""
0,"Ann-Katrien Oimann, Adriana Salatino","Command responsibility in military AI contexts: balancing theory and practicality",2024,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-024-00512-8","",162,"2025-02-04 16:55:17","journal-article","10.1007/s43681-024-00512-8","2730-5953","",,,,,0,0.00,0,2,1,"Abstract: Artificial intelligence (AI) has found extensive applications to varying degrees across diverse domains, including the possibility of using it within military contexts for making decisions that can have moral consequences. A recurring challenge in this area concerns the allocation of moral responsibility in the case of negative AI-induced outcomes. Some scholars posit the existence of an insurmountable “responsibility gap”, wherein neither the AI system nor the human agents involved can or should be held responsible. Conversely, other scholars dispute the presence of such gaps or propose potential solutions. One solution that frequently emerges in the literature on AI ethics is the concept of command responsibility, wherein human agents may be held responsible because they perform a supervisory role over the (subordinate) AI. In the article we examine the compatibility of command responsibility in light of recent empirical studies and psychological evidence, aiming to anchor discussions in empirical realities rather than relying exclusively on normative arguments. Our argument can be succinctly summarized as follows: (1) while the theoretical foundation of command responsibility appears robust (2) its practical implementation raises significant concerns, (3) yet these concerns alone should not entirely preclude its application (4) they underscore the importance of considering and integrating empirical evidence into ethical discussions.","https://link.springer.com/content/pdf/10.1007/s43681-024-00512-8.pdf",""
